,,,,,,,,市盈率,,,,发行数量(万股),,,,,,,,募集资金(亿元),,,发行费用(万元),,,,,,,,,,网下配售情况,,,,,,,,,,,网上发行情况,,,,,,,,,,,,,,,,,,,,,,
代码,名称,申购代码,招股日期,网上发行日期,上市日期,上市板,发行价格,发行市盈率,行业PE(披露值),"行业PE(近1月,静态)","行业PE(近1月,TTM)",总计,新股发行数量,老股转让数量,网下配售数量,网上发行数量,回拨比例(%),网下申购上限,网上发行申购上限(股),预计募资(上市公司),募资总额(上市公司),募资净额(上市公司),上市公司发行费用,上市公司发行费率(%),老股转让费用,转让费率(%),发行费用合计,发行费率(%),承销及保荐费,审计及验资费,法律费用,信息披露费,投资者数量(家),配售对象数量(个),询价申购数量(万股),询价认购倍数,有效报价配售对象家数,有效报价投资者家数,有效申购配售对象家数,有效申购数量(万股),有效申购资金(亿元),有效申购获配比例(%),认购倍数,有效申购户数,有效申购股数(万股),中签率(%),认购倍数,发行方式,承销方式,主承销商,审计机构,资产评估机构,律师事务所,发行公告日期,网下发行起始日期,网下发行截止日期,网上发行冻结资金(亿元),网下配售冻结资金(亿元),承销商认购余股(万股),面值,省份,证监会行业(2012版),证监会行业,Wind行业,证券类型,交易所
300201.SZ,海伦哲,300201,2011-03-18,2011-03-28,2011-04-07,创业板,21.00,51.22,,,,"2,000.00","2,000.00",,400.00,"1,600.00",0.00,400.00,"16,000.00",1.71,4.20,3.75,"4,485.85",10.68,0.00,0.00,"4,485.85",10.68,"3,853.37",238.70,87.24,300.64,50,66,,,33,33,33,"11,100.00",23.31,3.60,27.75,"325,802","357,213.40",0.4479,223.00,"网下询价,上网定价",余额包销,民生证券有限责任公司,大华会计师事务所(特殊普通合伙),"北京亚超资产评估有限公司,江苏华信资产评估有限公司",国浩律师事务所,2011-03-25,2011-03-28,2011-03-28,750.1481,23.3100,0.0000,1.00,江苏省,专用设备制造业,,工业--资本货物--机械--建筑机械与重型卡车,A股,深圳
300198.SZ,纳川股份,300198,2011-03-18,2011-03-28,2011-04-07,创业板,31.00,63.63,,,,"2,300.00","2,300.00",,450.00,"1,850.00",0.00,75.00,"18,000.00",2.01,7.13,6.71,"4,217.35",5.91,0.00,0.00,"4,217.35",5.91,"3,452.00",274.00,154.00,337.35,64,94,,,36,36,36,"2,700.00",8.37,16.67,6.00,"114,678","139,780.50",1.3235,76.00,"网下询价,上网定价",余额包销,广发证券股份有限公司,华兴会计师事务所(特殊普通合伙),,福建君立律师事务所,2011-03-25,2011-03-28,2011-03-28,433.3196,8.3700,0.0000,1.00,福建省,橡胶和塑料制品业,,工业--资本货物--建筑产品Ⅲ--建筑产品,A股,深圳
300197.SZ,铁汉生态,300197,2011-03-11,2011-03-21,2011-03-29,创业板,67.58,110.07,,,,"1,550.00","1,550.00",,310.00,"1,240.00",0.00,310.00,"12,000.00",1.80,10.47,10.00,"4,720.81",4.51,0.00,0.00,"4,720.81",4.51,"4,152.47",126.00,110.00,321.54,83,152,,,54,54,54,"11,625.00",78.56,2.67,37.50,"159,177","131,941.05",0.9398,106.00,"网下询价,上网定价",余额包销,中航证券有限公司,广东正中珠江会计师事务所(特殊普通合伙),"广东立信羊城资产评估与土地房地产估价有限公司,广东中广信资产评估有限公司",国浩律师事务所,2011-03-18,2011-03-21,2011-03-21,891.6576,78.5618,0.0000,1.00,广东省,生态保护和环境治理业,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,A股,深圳
300195.SZ,长荣股份,300195,2011-03-11,2011-03-21,2011-03-29,创业板,40.00,53.33,,,,"2,500.00","2,500.00",,500.00,"2,000.00",0.00,500.00,"20,000.00",2.75,10.00,9.44,"5,573.24",5.57,0.00,0.00,"5,573.24",5.57,"5,125.00",99.00,85.00,212.00,37,50,,,27,27,27,"7,550.00",30.20,6.62,15.10,"172,073","198,054.00",1.0098,99.00,"网下询价,上网定价",余额包销,渤海证券股份有限公司,信永中和会计师事务所(特殊普通合伙),天津华夏金信资产评估有限公司,广东晟典律师事务所,2011-03-18,2011-03-21,2011-03-21,792.2160,30.2000,0.0000,1.00,天津,专用设备制造业,,工业--资本货物--机械--工业机械,A股,深圳
300196.SZ,长海股份,300196,2011-03-11,2011-03-21,2011-03-29,创业板,18.58,46.45,,,,"3,000.00","3,000.00",,600.00,"2,400.00",0.00,600.00,"24,000.00",1.97,5.57,5.23,"3,486.10",6.25,0.00,0.00,"3,486.10",6.25,"2,959.20",102.40,68.00,349.00,58,103,,,52,52,52,"23,000.00",42.73,2.61,38.33,"539,956","791,087.40",0.3034,330.00,"网下询价,上网定价",余额包销,中国中投证券有限责任公司,公证天业会计师事务所(特殊普通合伙),江苏中企华中天资产评估有限公司,国浩律师事务所,2011-03-18,2011-03-21,2011-03-21,"1,469.8404",42.7340,0.0000,1.00,江苏省,非金属矿物制品业,,材料--材料Ⅱ--建材Ⅲ--建材,A股,深圳
002567.SZ,唐人神,002567,2011-03-08,2011-03-16,2011-03-25,中小企业板,27.00,50.00,,,,"3,500.00","3,500.00",,700.00,"2,800.00",0.00,700.00,"20,000.00",3.44,9.45,8.76,"6,907.19",7.31,0.00,0.00,"6,907.19",7.31,"5,581.00",507.00,290.50,316.00,58,80,,,42,42,42,"16,800.00",45.36,4.17,24.00,"388,921","429,702.80",0.6516,153.00,"网下询价,上网定价",余额包销,招商证券股份有限公司,致同会计师事务所(特殊普通合伙),湖南建业会计师事务所有限公司,北京市中伦律师事务所,2011-03-15,2011-03-16,2011-03-16,"1,160.1976",45.3600,0.0000,1.00,湖南省,农副食品加工业,,日常消费--食品、饮料与烟草--食品--农产品,A股,深圳
002568.SZ,百润股份,002568,2011-03-08,2011-03-16,2011-03-25,中小企业板,26.00,51.38,,,,"2,000.00","2,000.00",,400.00,"1,600.00",0.00,400.00,"16,000.00",1.89,5.20,4.76,"4,381.60",8.43,0.00,0.00,"4,381.60",8.43,"3,550.00",285.40,133.00,361.00,75,152,,,57,57,57,"19,760.00",51.38,2.02,49.40,"412,209","396,494.30",0.4035,248.00,"网下询价,上网定价",余额包销,华龙证券有限责任公司,立信会计师事务所(特殊普通合伙),,上海市邦信阳律师事务所,2011-03-15,2011-03-16,2011-03-16,"1,030.8852",51.3760,0.0000,1.00,上海,酒、饮料和精制茶制造业,,日常消费--食品、饮料与烟草--饮料--白酒与葡萄酒,A股,深圳
300194.SZ,福安药业,300194,2011-03-04,2011-03-14,2011-03-22,创业板,41.88,46.02,,,,"3,340.00","3,340.00",,663.00,"2,677.00",0.00,663.00,"26,500.00",4.08,13.99,13.01,"9,760.71",6.98,0.00,0.00,"9,760.71",6.98,"8,792.75",409.50,181.50,304.78,48,68,,,35,35,35,"15,327.00",64.19,4.33,23.12,"172,114","233,966.80",1.1442,87.00,"网下询价,上网定价",余额包销,国都证券有限责任公司,大信会计师事务所(特殊普通合伙),中京民信(北京)资产评估有限公司,上海东方华银律师事务所,2011-03-11,2011-03-14,2011-03-14,979.8530,64.1895,0.0000,1.00,重庆,医药制造业,,医疗保健--制药、生物科技与生命科学--制药--西药,A股,深圳
300192.SZ,科斯伍德,300192,2011-03-04,2011-03-14,2011-03-22,创业板,22.82,49.02,,,,"1,850.00","1,850.00",,370.00,"1,480.00",0.00,370.00,"14,000.00",1.75,4.22,3.71,"5,118.21",12.12,0.00,0.00,"5,118.21",12.12,"4,459.53",259.00,100.00,277.00,45,72,,,32,32,32,"9,990.00",22.80,3.70,27.00,"365,687","351,740.95",0.4208,238.00,"网下询价,上网定价",余额包销,东吴证券股份有限公司,立信会计师事务所(特殊普通合伙),银信资产评估有限公司,国浩律师事务所,2011-03-11,2011-03-14,2011-03-14,802.6728,22.7972,0.0000,1.00,江苏省,化学原料及化学制品制造业,,材料--材料Ⅱ--化工--特种化工,A股,深圳
300193.SZ,佳士科技,300193,2011-03-04,2011-03-14,2011-03-22,创业板,26.50,63.10,,,,"5,550.00","5,550.00",,"1,100.00","4,450.00",0.00,"1,100.00","44,000.00",3.85,14.71,14.01,"6,998.81",4.76,0.00,0.00,"6,998.81",4.76,"6,247.63",194.00,192.00,248.00,54,87,,,40,40,40,"29,600.00",78.44,3.72,26.91,"231,456","442,923.70",1.0047,100.00,"网下询价,上网定价",余额包销,国信证券股份有限公司,立信会计师事务所(特殊普通合伙),深圳市德正信资产评估有限公司,北京市中伦律师事务所,2011-03-11,2011-03-14,2011-03-14,"1,173.7478",78.4400,0.0000,1.00,广东省,通用设备制造业,,工业--资本货物--机械--工业机械,A股,深圳
002566.SZ,益盛药业,002566,2011-03-01,2011-03-09,2011-03-18,中小企业板,39.90,52.50,,,,"2,760.00","2,760.00",,552.00,"2,208.00",0.00,552.00,"22,000.00",2.76,11.01,10.39,"6,201.88",5.63,0.00,0.00,"6,201.88",5.63,"5,506.20",184.24,170.00,265.00,54,76,,,15,15,15,"4,554.00",18.17,12.12,8.25,"158,324","160,368.80",1.3768,73.00,"网下询价,上网定价",余额包销,民生证券有限责任公司,利安达会计师事务所(特殊普通合伙),,北京国枫律师事务所,2011-03-08,2011-03-09,2011-03-09,639.8715,18.1705,0.0000,1.00,吉林省,医药制造业,,医疗保健--制药、生物科技与生命科学--制药--中药,A股,深圳
601199.SH,江南水务,780199,2011-03-01,2011-03-09,2011-03-17,主板,18.80,58.08,,,,"5,880.00","5,880.00",,"1,176.00","4,704.00",0.00,"1,176.00","47,000.00",3.24,11.05,10.29,"7,653.59",6.92,0.00,0.00,"7,653.59",6.92,"6,632.64",501.00,105.00,311.74,92,199,,,143,143,129,"93,540.00",175.86,1.26,79.54,"525,053","983,160.10",0.4785,209.01,"网下询价,上网定价",余额包销,兴业证券股份有限公司,公证天业会计师事务所(特殊普通合伙),江苏中企华中天资产评估有限公司,江苏世纪同仁律师事务所,2011-03-08,2011-03-08,2011-03-09,"1,848.3410",184.3234,0.0000,1.00,江苏省,水的生产和供应业,,公用事业--公用事业Ⅱ--水务Ⅲ--水务,A股,上海
002565.SZ,顺灏股份,002565,2011-03-01,2011-03-09,2011-03-18,中小企业板,31.20,41.22,,,,"3,350.00","3,350.00",,670.00,"2,680.00",0.00,670.00,"26,000.00",4.77,10.45,9.98,"4,695.64",4.49,0.00,0.00,"4,695.64",4.49,"3,535.60",414.90,253.00,354.00,34,50,,,18,18,18,"7,705.00",24.04,8.70,11.50,"250,274","254,927.75",1.0513,95.00,"网下询价,上网定价",余额包销,安信证券股份有限公司,立信会计师事务所(特殊普通合伙),银信资产评估有限公司,上海融孚律师事务所,2011-03-08,2011-03-09,2011-03-09,795.3746,24.0396,0.0000,1.00,上海,造纸及纸制品业,,材料--材料Ⅱ--容器与包装--纸包装,A股,深圳
300190.SZ,维尔利,300190,2011-02-25,2011-03-07,2011-03-16,创业板,58.50,69.64,,,,"1,330.00","1,330.00",,260.00,"1,070.00",0.00,260.00,"10,000.00",1.66,7.78,7.25,"5,325.45",6.84,0.00,0.00,"5,325.45",6.84,"4,790.25",162.00,132.14,238.40,74,128,,,59,59,59,"9,932.00",58.10,2.62,38.20,"166,589","126,503.65",0.8458,118.00,"网下询价,上网定价",余额包销,国信证券股份有限公司,信永中和会计师事务所(特殊普通合伙),江苏银信资产评估房地产估价有限公司,北京市君合律师事务所,2011-03-04,2011-03-07,2011-03-07,740.0464,58.1022,0.0000,1.00,江苏省,生态保护和环境治理业,,工业--商业和专业服务--商业服务与用品--环境与设施服务,A股,深圳
300189.SZ,神农科技,300189,2011-02-25,2011-03-07,2011-03-16,创业板,24.00,88.89,,,,"4,000.00","4,000.00",,800.00,"3,200.00",0.00,80.00,"32,000.00",4.20,9.60,8.72,"8,831.15",9.20,0.00,0.00,"8,831.15",9.20,"7,920.00",280.00,150.00,427.60,76,115,,,72,72,72,"5,760.00",13.82,13.89,7.20,"340,369","495,217.00",0.6462,155.00,"网下询价,上网定价",余额包销,平安证券有限责任公司,中准会计师事务所(特殊普通合伙),"湖南恒生新时代资产评估有限公司,中瑞世联资产评估(北京)有限公司",北京市中伦律师事务所,2011-03-04,2011-03-07,2011-03-07,"1,188.5208",13.8240,0.0000,1.00,海南省,农业,,日常消费--食品、饮料与烟草--食品--农产品,A股,深圳
300191.SZ,潜能恒信,300191,2011-02-25,2011-03-07,2011-03-16,创业板,41.46,56.03,,,,"2,000.00","2,000.00",,400.00,"1,600.00",0.00,50.00,"16,000.00",2.46,8.29,7.77,"5,207.87",6.28,0.00,0.00,"5,207.87",6.28,"4,622.39",125.00,130.00,226.00,62,110,,,53,53,53,"2,650.00",10.99,15.09,6.63,"154,123","152,307.40",1.0505,95.00,"网下询价,上网定价",余额包销,华鑫证券有限责任公司,瑞华会计师事务所(特殊普通合伙),北京中企华资产评估有限责任公司,北京市竞天公诚律师事务所,2011-03-04,2011-03-07,2011-03-07,631.4665,10.9869,0.0000,1.00,北京,开采辅助活动,,能源--能源Ⅱ--能源设备与服务--石油天然气设备与服务,A股,深圳
300188.SZ,美亚柏科,300188,2011-02-25,2011-03-07,2011-03-16,创业板,40.00,80.00,,,,"1,350.00","1,350.00",,270.00,"1,080.00",0.00,270.00,"10,000.00",1.67,5.40,5.01,"3,859.40",7.15,0.00,0.00,"3,859.40",7.15,"3,260.00",165.00,122.00,308.22,63,116,,,58,58,58,"10,746.00",42.98,2.51,39.80,"162,572","120,171.35",0.8987,111.00,"网下询价,上网定价",余额包销,国信证券股份有限公司,致同会计师事务所(特殊普通合伙),厦门市大学资产评估有限公司,北京市竞天公诚律师事务所,2011-03-04,2011-03-07,2011-03-07,480.6854,42.9840,0.0000,1.00,福建省,软件和信息技术服务业,,信息技术--软件与服务--软件--应用软件,A股,深圳
002563.SZ,森马服饰,002563,2011-02-22,2011-03-02,2011-03-11,中小企业板,67.00,44.97,,,,"7,000.00","7,000.00",,"1,400.00","5,600.00",0.00,"1,400.00","56,000.00",20.56,46.90,45.31,"15,918.70",3.39,0.00,0.00,"15,918.70",3.39,"15,208.00",184.00,85.00,387.00,73,126,,,36,36,35,"10,360.00",69.41,13.51,7.40,"154,395","223,604.50",2.5044,40.00,"网下询价,上网定价",余额包销,中国银河证券股份有限公司,立信会计师事务所(特殊普通合伙),北京中企华资产评估有限责任公司,上海市瑛明律师事务所,2011-03-01,2011-03-02,2011-03-02,"1,498.1502",69.4120,0.0000,1.00,浙江省,纺织服装、服饰业,,可选消费--耐用消费品与服装--纺织品、服装与奢侈品--服装、服饰与奢侈品,A股,深圳
002562.SZ,兄弟科技,002562,2011-02-22,2011-03-02,2011-03-10,中小企业板,21.00,45.65,,,,"2,670.00","2,670.00",,530.00,"2,140.00",0.00,530.00,"20,000.00",2.86,5.61,5.22,"3,918.70",6.99,0.00,0.00,"3,918.70",6.99,"3,143.06",371.40,80.00,308.00,43,78,,,28,28,28,"10,388.00",21.81,5.10,19.60,"749,742","825,390.75",0.2593,386.00,"网下询价,上网定价",余额包销,国融证券股份有限公司,天健会计师事务所(特殊普通合伙),坤元资产评估有限公司,上海市广发律师事务所,2011-03-01,2011-03-02,2011-03-02,"1,733.3206",21.8148,0.0000,1.00,浙江省,医药制造业,,医疗保健--制药、生物科技与生命科学--制药--西药,A股,深圳
002564.SZ,天沃科技,002564,2011-02-22,2011-03-02,2011-03-10,中小企业板,29.50,50.86,,,,"4,800.00","4,800.00",,960.00,"3,840.00",0.00,960.00,"38,000.00",7.80,14.16,13.37,"7,880.99",5.57,0.00,0.00,"7,880.99",5.57,"7,291.00",194.00,52.00,322.00,75,128,,,39,39,39,"24,480.00",72.22,3.92,25.50,"456,144","786,439.75",0.4883,205.00,"网下询价,上网定价",余额包销,国信证券股份有限公司,瑞华会计师事务所(特殊普通合伙),江苏仁合资产评估有限公司,广东晟典律师事务所,2011-03-01,2011-03-02,2011-03-02,"2,319.9973",72.2160,0.0000,1.00,江苏省,专业技术服务业,,工业--资本货物--机械--工业机械,A股,深圳
300187.SZ,永清环保,300187,2011-02-17,2011-02-25,2011-03-08,创业板,40.00,81.63,,,,"1,670.00","1,670.00",,330.00,"1,340.00",0.00,55.00,"13,000.00",1.60,6.68,6.14,"5,447.43",8.15,0.00,0.00,"5,447.43",8.15,"4,828.00",224.00,95.00,294.85,55,103,,,51,51,51,"2,805.00",11.22,11.58,8.50,"200,697","184,186.70",0.7275,137.00,"网下询价,上网定价",余额包销,平安证券有限责任公司,天职国际会计师事务所(特殊普通合伙),,湖南启元律师事务所,2011-02-24,2011-02-25,2011-02-25,736.7468,11.2200,0.0000,1.00,湖南省,生态保护和环境治理业,,工业--商业和专业服务--商业服务与用品--环境与设施服务,A股,深圳
300186.SZ,大华农(退市),300186,2011-02-17,2011-02-25,2011-03-08,创业板,22.00,51.16,,,,"6,700.00","6,700.00",,"1,320.00","5,380.00",0.00,"1,320.00","50,000.00",4.30,14.74,14.13,"6,128.91",4.16,0.00,0.00,"6,128.91",4.16,"5,624.40",83.00,142.00,9.66,38,63,,,35,35,35,"18,832.00",41.43,7.01,14.27,"299,359","528,861.55",1.0173,98.00,"网下询价,上网定价",余额包销,招商证券股份有限公司,广东正中珠江会计师事务所(特殊普通合伙),北京中天衡平国际资产评估有限公司,北京市金杜律师事务所,2011-02-24,2011-02-25,2011-02-25,"1,163.4954",41.4304,0.0000,1.00,广东省,,,,A股,深圳
300185.SZ,通裕重工,300185,2011-02-17,2011-02-25,2011-03-08,创业板,25.00,53.42,,,,"9,000.00","9,000.00",,"1,800.00","7,200.00",0.00,"1,800.00","72,000.00",10.81,22.50,21.48,"10,168.98",4.52,0.00,0.00,"10,168.98",4.52,"9,300.00",261.44,121.00,344.18,33,52,,,32,32,32,"15,480.00",38.70,11.63,8.60,"167,482","319,671.30",2.2523,44.00,"网下询价,上网定价",余额包销,国金证券股份有限公司,瑞华会计师事务所(特殊普通合伙),北京中同华资产评估有限公司,北京国枫律师事务所,2011-02-24,2011-02-25,2011-02-25,799.1783,38.7000,0.0000,1.00,山东省,通用设备制造业,,工业--资本货物--机械--工业机械,A股,深圳
002561.SZ,徐家汇,002561,2011-02-15,2011-02-23,2011-03-03,中小企业板,16.00,34.78,,,,"7,000.00","7,000.00",,"1,400.00","5,600.00",0.00,140.00,"50,000.00",9.06,11.20,10.33,"8,717.72",7.78,0.00,0.00,"8,717.72",7.78,"7,480.00",604.44,225.00,363.00,41,68,,,21,21,21,"2,940.00",4.70,47.62,2.10,"329,487","486,382.60",1.1514,87.00,"网下询价,上网定价",余额包销,海通证券股份有限公司,上海众华沪银会计师事务所有限公司,万隆(上海)资产评估有限公司,上海市通力律师事务所,2011-02-22,2011-02-23,2011-02-23,778.2122,4.7040,0.0000,1.00,上海,零售业,,可选消费--零售业--多元化零售--百货商店,A股,深圳
601011.SH,宝泰隆,780011,2011-02-15,2011-02-24,2011-03-09,主板,18.00,39.08,,,,"9,700.00","9,700.00",0.00,"1,940.00","7,760.00",0.00,"1,940.00","70,000.00",7.90,17.46,16.41,"10,452.77",5.99,0.00,0.00,"10,452.77",5.99,"9,769.00",128.00,38.00,385.00,31,55,,,29,29,20,"12,300.00",22.14,15.77,6.34,"455,370","986,181.40",0.7869,127.09,"网下询价,上网定价",余额包销,第一创业证券有限责任公司,中喜会计师事务所(特殊普通合伙),"哈尔滨华通资产评估有限责任公司,中水资产评估有限公司",北京雍文律师事务所,2011-02-23,2011-02-23,2011-02-24,"1,775.1265",29.3665,0.0000,1.00,黑龙江省,石油加工、炼焦及核燃料加工业,,能源--能源Ⅱ--石油、天然气与供消费用燃料--煤炭与消费用燃料,A股,上海
002560.SZ,通达股份,002560,2011-02-15,2011-02-23,2011-03-03,中小企业板,28.80,42.35,,,,"2,000.00","2,000.00",,400.00,"1,600.00",0.00,400.00,"16,000.00",2.56,5.76,5.34,"4,210.69",7.31,0.00,0.00,"4,210.69",7.31,"3,476.00",183.80,150.00,350.00,28,38,,,11,11,11,"3,300.00",9.50,12.12,8.25,"124,340","110,124.30",1.4529,69.00,"网下询价,上网定价",余额包销,民生证券有限责任公司,大信会计师事务所(特殊普通合伙),河南光大财务咨询有限责任公司,北京市君致律师事务所,2011-02-22,2011-02-23,2011-02-23,317.1580,9.5040,0.0000,1.00,河南省,电气机械及器材制造业,,工业--资本货物--电气设备--电气部件与设备,A股,深圳
002559.SZ,亚威股份,002559,2011-02-15,2011-02-23,2011-03-03,中小企业板,40.00,57.14,,,,"2,200.00","2,200.00",,440.00,"1,760.00",0.00,440.00,"15,000.00",2.50,8.80,8.31,"4,884.80",5.55,0.00,0.00,"4,884.80",5.55,"4,055.00",269.00,184.00,345.00,69,123,,,36,36,36,"9,515.00",38.06,4.62,21.63,"103,545","97,164.10",1.8114,55.00,"网下询价,上网定价",余额包销,光大证券股份有限公司,苏亚金诚会计师事务所(特殊普通合伙),中联资产评估集团有限公司,江苏泰和律师事务所,2011-02-22,2011-02-23,2011-02-23,388.6564,38.0600,0.0000,1.00,江苏省,通用设备制造业,,工业--资本货物--机械--工业机械,A股,深圳
002558.SZ,巨人网络,002558,2011-02-11,2011-02-21,2011-03-02,中小企业板,30.00,81.08,,,,"1,500.00","1,500.00",,300.00,"1,200.00",0.00,300.00,"12,000.00",1.76,4.50,3.99,"5,133.01",11.41,0.00,0.00,"5,133.01",11.41,"4,050.00",315.00,234.00,484.50,55,79,,,19,19,19,"4,800.00",14.40,6.25,16.00,"330,569","270,286.65",0.4440,225.00,"网下询价,上网定价",余额包销,光大证券股份有限公司,致同会计师事务所(特殊普通合伙),重庆华康资产评估土地房地产估价有限责任公司,北京市金杜律师事务所,2011-02-18,2011-02-21,2011-02-21,810.8600,14.4000,0.0000,1.00,重庆,互联网和相关服务,,信息技术--软件与服务--软件--家庭娱乐软件,A股,深圳
601116.SH,三江购物,780116,2011-02-11,2011-02-21,2011-03-02,主板,11.80,56.19,,,,"6,000.00","6,000.00",,"1,200.00","4,800.00",0.00,"1,200.00","48,000.00",4.40,7.08,6.64,"4,425.89",6.25,0.00,0.00,"4,425.89",6.25,"3,840.00",184.00,100.00,251.00,86,170,,,94,94,79,"68,340.00",80.64,1.76,56.95,"471,433","1,023,233.40",0.4691,213.17,"网下询价,上网定价",余额包销,海通证券股份有限公司,中审众环会计师事务所(特殊普通合伙),湖北众联资产评估有限公司,北京市康达律师事务所,2011-02-18,2011-02-18,2011-02-21,"1,207.4154",88.1390,0.0000,1.00,浙江省,零售业,,日常消费--食品与主要用品零售Ⅱ--食品与主要用品零售Ⅲ--大卖场与超市,A股,上海
002556.SZ,辉隆股份,002556,2011-02-11,2011-02-21,2011-03-02,中小企业板,37.50,55.97,,,,"3,750.00","3,750.00",,750.00,"3,000.00",0.00,75.00,"30,000.00",4.04,14.06,13.02,"10,398.36",7.39,0.00,0.00,"10,398.36",7.39,"9,681.25",214.33,190.00,294.38,58,94,,,39,39,39,"2,925.00",10.97,25.64,3.90,"198,335","289,912.80",1.0348,97.00,"网下询价,上网定价",余额包销,平安证券有限责任公司,致同会计师事务所(特殊普通合伙),开元资产评估有限公司,安徽承义律师事务所,2011-02-18,2011-02-21,2011-02-21,"1,087.1730",10.9688,0.0000,1.00,安徽省,零售业,,材料--材料Ⅱ--化工--化肥与农用化工,A股,深圳
002557.SZ,洽洽食品,002557,2011-02-11,2011-02-21,2011-03-02,中小企业板,40.00,54.14,,,,"5,000.00","5,000.00",,"1,000.00","4,000.00",0.00,"1,000.00","40,000.00",5.20,20.00,18.88,"11,160.00",5.58,0.00,0.00,"11,160.00",5.58,"10,350.00",354.00,184.00,249.00,60,78,,,15,15,15,"6,700.00",26.80,14.93,6.70,"129,467","193,084.70",2.0716,48.00,"网下询价,上网定价",余额包销,国元证券股份有限公司,容诚会计师事务所(特殊普通合伙),安徽国信资产评估有限责任公司,上海市通力律师事务所,2011-02-18,2011-02-21,2011-02-21,772.3388,26.8000,0.0000,1.00,安徽省,农副食品加工业,,日常消费--食品、饮料与烟草--食品--食品加工与肉类,A股,深圳
002555.SZ,三七互娱,002555,2011-02-11,2011-02-21,2011-03-02,中小企业板,35.00,49.95,,,,"1,700.00","1,700.00",,340.00,"1,360.00",0.00,340.00,"13,000.00",2.50,5.95,5.56,"3,938.39",6.62,0.00,0.00,"3,938.39",6.62,"3,297.50",138.45,180.00,288.00,36,52,,,15,15,15,"4,148.00",14.52,8.20,12.20,"237,191","200,743.30",0.6775,148.00,"网下询价,上网定价",余额包销,国元证券股份有限公司,致同会计师事务所(特殊普通合伙),,北京市天银律师事务所,2011-02-18,2011-02-21,2011-02-21,702.6016,14.5180,0.0000,1.00,安徽省,互联网和相关服务,,信息技术--软件与服务--软件--家庭娱乐软件,A股,深圳
002554.SZ,惠博普,002554,2011-01-31,2011-02-16,2011-02-25,中小企业板,26.00,67.01,,,,"3,500.00","3,500.00",,700.00,"2,800.00",0.00,700.00,"28,000.00",2.41,9.10,8.22,"8,827.05",9.70,0.00,0.00,"8,827.05",9.70,"8,024.21",156.33,197.01,433.00,70,130,,,42,42,42,"14,600.00",37.96,4.79,20.86,"317,679","517,042.20",0.5415,185.00,"网下询价,上网定价",余额包销,南京证券有限责任公司,利安达会计师事务所(特殊普通合伙),北京京都中新资产评估有限公司,北京市天元律师事务所,2011-02-15,2011-02-16,2011-02-16,"1,344.3097",37.9600,0.0000,1.00,北京,开采辅助活动,,能源--能源Ⅱ--能源设备与服务--石油天然气设备与服务,A股,深圳
002553.SZ,南方轴承,002553,2011-01-31,2011-02-16,2011-02-25,中小企业板,17.00,60.71,,,,"2,200.00","2,200.00",,440.00,"1,760.00",0.00,440.00,"17,000.00",1.81,3.74,3.36,"3,826.93",10.23,0.00,0.00,"3,826.92",10.23,"2,980.00",344.78,130.00,314.50,38,63,,,28,28,28,"8,470.00",14.40,5.19,19.25,"464,646","484,774.55",0.3631,275.00,"网下询价,上网定价",余额包销,华泰证券股份有限公司,天衡会计师事务所(特殊普通合伙),江苏中企华中天资产评估有限公司,江苏泰和律师事务所,2011-02-15,2011-02-16,2011-02-16,824.1167,14.3990,0.0000,1.00,江苏省,通用设备制造业,,可选消费--汽车与汽车零部件--汽车零配件--机动车零配件与设备,A股,深圳
002552.SZ,宝鼎科技,002552,2011-01-31,2011-02-16,2011-02-25,中小企业板,20.00,31.75,,,,"2,500.00","2,500.00",,500.00,"2,000.00",0.00,500.00,"20,000.00",3.34,5.00,4.59,"4,083.20",8.17,0.00,0.00,"4,083.20",8.17,"3,450.00",214.00,85.00,334.20,39,54,,,30,30,30,"12,400.00",24.80,4.03,24.80,"566,603","657,204.50",0.3043,329.00,"网下询价,上网定价",余额包销,国信证券股份有限公司,立信会计师事务所(特殊普通合伙),"北京中企华资产评估有限责任公司,浙江中企华资产评估有限公司",上海市锦天城律师事务所,2011-02-15,2011-02-16,2011-02-16,"1,314.4090",24.8000,0.0000,1.00,浙江省,通用设备制造业,,工业--资本货物--机械--建筑机械与重型卡车,A股,深圳
002551.SZ,尚荣医疗,002551,2011-01-31,2011-02-16,2011-02-25,中小企业板,46.00,95.83,,,,"2,050.00","2,050.00",,400.00,"1,650.00",0.00,400.00,"16,000.00",2.47,9.43,8.77,"6,630.71",7.03,0.00,0.00,"6,630.71",7.03,"5,875.00",167.29,232.00,290.00,78,180,,,75,75,75,"19,950.00",91.77,2.01,49.88,"167,840","179,859.55",0.9174,109.00,"网下询价,上网定价",余额包销,国信证券股份有限公司,中审国际会计师事务所有限公司,,广东华商律师事务所,2011-02-15,2011-02-16,2011-02-16,827.3539,91.7700,0.0000,1.00,广东省,专用设备制造业,,医疗保健--医疗保健设备与服务--医疗保健设备与用品--医疗保健设备,A股,深圳
